iter	Passed	Remaining
416	2918	18080
417	2926	18080
418	2933	18067
419	2940	18063
420	2948	18060
421	2956	18063
422	2963	18057
423	2971	18054
424	2979	18049
425	2985	18040
426	2993	18036
427	2999	18026
428	3007	18022
429	3013	18009
430	3022	18014
431	3029	18008
432	3035	17998
433	3042	17987
434	3048	17974
435	3056	17976
436	3063	17966
437	3070	17962
438	3078	17956
439	3085	17949
440	3092	17943
441	3099	17938
442	3107	17934
443	3114	17930
444	3122	17926
445	3129	17919
446	3137	17919
447	3143	17909
448	3149	17895
449	3156	17889
450	3163	17877
451	3170	17871
452	3178	17871
453	3187	17876
454	3194	17866
455	3203	17871
456	3210	17867
457	3219	17866
458	3226	17859
459	3234	17858
460	3241	17852
461	3249	17849
462	3256	17845
463	3263	17835
464	3270	17830
465	3277	17820
466	3285	17818
467	3290	17804
468	3297	17796
469	3304	17787
470	3310	17777
471	3318	17773
472	3324	17761
473	3332	17758
474	3338	17748
475	3346	17744
476	3355	17749
477	3364	17749
478	3371	17742
479	3378	17735
480	3386	17734
481	3393	17726
482	3400	17721
483	3410	17726
484	3418	17727
485	3424	17716
486	3433	17717
487	3440	17707
488	3446	17695
489	3451	17682
490	3458	17674
491	3465	17666
492	3471	17655
493	3478	17647
494	3484	17635
495	3490	17621
496	3498	17620
497	3504	17609
498	3511	17598
499	3518	17592
500	3526	17587
501	3533	17582
502	3539	17571
503	3547	17567
504	3553	17558
505	3560	17547
506	3566	17538
507	3573	17528
508	3580	17520
509	3586	17508
510	3592	17497
511	3598	17486
512	3605	17479
513	3613	17474
514	3619	17463
515	3625	17454
516	3632	17446
517	3638	17434
518	3646	17430
519	3654	17428
520	3662	17424
521	3668	17414
522	3675	17407
523	3681	17396
524	3687	17385
525	3695	17383
526	3702	17373
527	3709	17368
528	3716	17358
529	3722	17345
530	3728	17337
531	3734	17325
532	3742	17322
533	3749	17314
534	3757	17311
535	3763	17302
536	3769	17291
537	3776	17281
538	3782	17272
539	3795	17288
540	3802	17281
541	3808	17273
542	3814	17260
543	3821	17252
544	3828	17247
545	3834	17236
546	3841	17227
547	3849	17225
548	3856	17217
549	3862	17206
550	3869	17196
551	3876	17189
552	3882	17178
553	3888	17166
554	3894	17157
555	3900	17144
556	3907	17138
557	3914	17129
558	3920	17121
559	3927	17113
560	3934	17107
561	3942	17103
562	3948	17093
563	3956	17090
564	3963	17080
565	3969	17069
566	3975	17059
